2470	463万	67	67	0	870	1373
2471	385万	59	59	1	870	1280
2472	439万	60	60	0	870	1331
2473	469万	53	53	0	870	1311
2474	348万	41	41	0	870	1214
2475	474万	59	59	0	871	1355
2476	446万	61	61	0	871	1285
2477	394万	63	63	1	871	1366
2478	473万	69	69	0	872	1373
2479	450万	59	59	0	872	1303
2480	431万	68	68	1	872	1367
2481	412万	41	41	1	872	1224
2482	389万	55	55	0	873	1241
2483	389万	53	53	0	873	1231
2484	427万	56	56	0	873	1264
2485	444万	53	53	0	874	1291
2486	420万	57	57	0	874	1270
2487	447万	59	59	0	874	1279
2488	419万	51	51	0	874	1285
2489	442万	58	58	1	874	1266
2490	409万	48	48	0	874	1287
2491	418万	56	56	0	874	1250
2492	423万	54	54	0	874	1269
2493	440万	64	64	0	875	1300
2494	439万	67	67	0	875	1344
2495	429万	50	50	0	875	1332
2496	432万	56	56	1	875	1350
2497	438万	64	64	0	875	1335
2498	372万	63	63	0	875	1301
2499	426万	64	64	0	875	1277
2500	496万	69	69	0	876	1385
2501	565万	69	69	0	876	1357
2502	435万	51	51	0	876	1227
2503	437万	64	64	2	876	1265
2504	478万	54	54	2	876	1224
2505	495万	67	67	0	876	1307
2506	483万	53	53	0	876	1335
2507	422万	41	41	1	877	1236
2508	450万	53	53	0	877	1304
2509	388万	49	49	1	877	1243
2510	495万	55	55	1	877	1297
2511	409万	53	53	0	878	1346
2512	402万	61	61	0	878	1266
2513	450万	56	56	0	878	1271
2514	430万	57	57	0	878	1369
2515	454万	67	67	0	878	1329
2516	474万	64	64	0	878	1388
2517	431万	54	54	3	878	1261
2518	447万	62	62	0	878	1294
2519	406万	63	63	0	879	1321
2520	457万	50	50	1	879	1262
2521	462万	70	70	2	879	1336
2522	457万	60	60	0	879	1330
2523	450万	55	55	0	879	1319
2524	592万	65	65	0	879	1324
2525	393万	55	55	0	880	1291
2526	520万	60	60	0	880	1357
2527	458万	45	45	0	880	1282
2528	532万	50	50	0	880	1328
2529	433万	57	57	1	880	1281
2530	472万	56	56	0	880	1256
2531	441万	59	59	0	880	1336
2532	513万	44	44	2	880	1251
2533	539万	68	68	0	880	1369
2534	473万	55	55	0	881	1277
2535	426万	57	57	0	881	1227
2536	414万	41	41	0	881	1200
2537	515万	57	57	1	881	1336
2538	418万	52	52	0	881	1278
2539	442万	56	56	0	881	1235
2540	470万	46	46	3	881	1265
2541	464万	71	71	1	881	1350
2542	446万	59	59	0	882	1264
2543	478万	54	54	0	882	1312
2544	487万	61	61	0	882	1349
2545	503万	60	60	0	882	1261
2546	447万	33	33	2	882	1193
2547	406万	42	42	1	882	1183
2548	500万	68	68	0	882	1322
2549	442万	45	45	0	882	1272
2550	434万	53	53	0	882	1310
2551	553万	65	65	0	882	1331
2552	460万	58	58	0	882	1375
2553	413万	46	46	0	883	1236
2554	467万	56	56	0	883	1308
2555	497万	61	61	0	883	1367
2556	400万	71	71	0	883	1324
2557	501万	56	56	1	883	1336
2558	403万	69	69	1	883	1319
2559	489万	66	66	0	884	1389
2560	530万	58	58	0	884	1320
2561	390万	63	63	0	884	1304
2562	533万	59	59	0	884	1340
2563	504万	65	65	0	884	1386
2564	492万	67	67	0	884	1340
2565	481万	60	60	0	884	1293
2566	439万	61	61	0	885	1376
2567	568万	60	60	0	885	1315
2568	553万	59	59	0	885	1349
2569	513万	66	66	2	885	1357
2570	431万	53	53	0	885	1358
2571	527万	48	48	0	885	1327
2572	486万	55	55	0	885	1308
2573	515万	53	53	0	885	1313
2574	527万	51	51	0	885	1278
2575	474万	73	73	0	886	1283
2576	494万	53	53	0	886	1286
2577	491万	68	68	1	886	1280
2578	508万	63	63	0	887	1279
2579	575万	64	64	0	887	1388
2580	461万	52	52	1	887	1335
2581	469万	50	50	0	887	1299
2582	440万	41	41	0	887	1203
2583	421万	56	56	0	887	1269
2584	463万	59	59	0	887	1306
2585	463万	46	46	0	887	1228
2586	470万	62	62	0	888	1274
2587	477万	51	51	0	888	1234
2588	427万	56	56	2	888	1340
2589	502万	50	50	0	888	1222
2590	445万	49	49	0	888	1285
2591	453万	63	63	3	888	1322
2592	527万	43	43	0	888	1276
2593	543万	66	66	0	889	1332
2594	510万	49	49	1	889	1303
2595	493万	59	59	0	889	1333
2596	459万	44	44	1	889	1204
2597	525万	64	64	0	889	1371
2598	541万	57	57	1	889	1358
2599	476万	45	45	0	890	1245
2600	582万	60	60	1	890	1331
2601	463万	48	48	1	890	1303
2602	489万	66	66	0	890	1334
2603	536万	59	59	0	890	1301
2604	506万	51	51	0	890	1290
2605	472万	63	63	0	891	1274
2606	555万	50	50	0	891	1309
2607	580万	72	72	1	891	1340
2608	469万	48	48	1	891	1289
2609	538万	60	60	1	891	1368
2610	512万	65	65	0	891	1401
2611	564万	56	56	0	892	1288
2612	554万	56	56	0	892	1308
2613	490万	51	51	0	892	1297
2614	542万	65	65	0	892	1338
2615	560万	50	50	1	892	1268
2616	504万	68	68	0	892	1376
2617	584万	60	60	0	892	1331
2618	491万	73	73	0	893	1335
2619	502万	61	61	0	893	1316
2620	456万	56	56	0	893	1332
2621	547万	55	55	0	893	1308
2622	471万	62	62	0	893	1304
